Project,Part ID (s),Lysate 1 location,Lysate 2 location,Substrate,Substrate location,Substrate mwt,Substrate state,Molarity,Instr. for 60 mM,Product,Comments,Product_ID
Allyl benzenes,7250 + 7272,1H7,1F8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,Eugenol,,Eugenol
Allyl benzenes,7252 + 7266,1A8,1C8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,Eugenol,,Eugenol
Allyl benzenes,7252 + 7268,1A8,1D8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,Eugenol,,Eugenol
Allyl benzenes,7252 + 7270,1A8,1E8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,Eugenol,,Eugenol
Allyl benzenes,7252 + 7272,1A8,1F8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,Eugenol,,Eugenol
Allyl benzenes,7254 + 7266,1B8,1C8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,Eugenol,,Eugenol
Allyl benzenes,7254 + 7268,1B8,1D8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,Eugenol,,Eugenol
Allyl benzenes,7254 + 7270,1B8,1E8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,Eugenol,,Eugenol
Allyl benzenes,7254 + 7272,1B8,1F8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,Eugenol,,Eugenol
Tyrosol,7336,1G3,,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyramine,,Tyramine
Tyrosol,7312,1H3,,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyramine,,Tyramine
Tyrosol,7314,1A4,,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyramine,,Tyramine
Tyrosol,4733,2G4,,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyramine,,Tyramine
Tyrosol,6930,2A9,,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyramine,,Tyramine
Tyrosol,6931,2B9,,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyramine,,Tyramine
Tyrosol,7302 +7184,1C3,1E2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,7302 +7186,1C3,1F2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,7302 +7188,1C3,1G2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,7302 +7190,1C3,1H2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,7302 +7192,1C3,1A3,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,7302 +7194,1C3,1B3,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,7304 +7184,1D3,1E2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,7304 +7186,1D3,1F2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,7304 +7188,1D3,1G2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,7304 +7190,1D3,1H2,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
